id,nombre,imagen,calificacion
1,Mario & Luigi: Superstar Saga,https://media.vandal.net/100/2007/20031290610_1b.jpg,9.34
2,The Legend of Zelda: A Link to the Past,https://media.vandal.net/100/1285/20034512952_1b.jpg,9.32
3,Metroid Fusion,https://media.vandal.net/100/696/metroid-fusion-201961016174091_1b.jpg,9.19
4,Fire Emblem,https://media.vandal.net/100/2743/20048110227_1b.jpg,9.19
5,The Legend of Zelda: The Minish Cap,https://media.vandal.net/100/3507/2004111722153_1b.jpg,9.19
6,Advance Wars 2,https://media.vandal.net/100/1654/200311405420_1b.jpg,9.17
7,Super Mario Advance 2 : Super Mario World,https://media.vandal.net/100/788/super-mario-advance-2-super-mario-world-201961114142616_1b.jpg,9.15
8,Wario Ware: Minigame Mania,https://media.vandal.net/100/1719/wario-ware-minigame-mania-201387191143_1b.jpg,9.12
9,Super Mario Advance 4: Super Mario Bros 3,https://media.vandal.net/100/2018/super-mario-advance-4-super-mario-bros-3-201423203516_1b.jpg,9.12
10,Mario Kart Super Circuit,https://media.vandal.net/100/15/mario-kart-super-circuit-20196111492537_1b.jpg,9.11
11,Super Mario Advance 3: Yoshi Island,https://media.vandal.net/100/1330/super-mario-advance-3-yoshi-island-20196101618188_1b.jpg,9.1
12,Golden Sun,https://media.vandal.net/100/19/golden-sun-20196111475322_1b.jpg,9.03
13,Metroid: Zero Mission,https://media.vandal.net/100/1992/2004526279_1b.jpg,9.03
14,Golden Sun 2,https://media.vandal.net/100/1241/200432422049_1b.jpg,8.95
15,Final Fantasy VI,https://media.vandal.net/100/5093/final-fantasy-vi-201429142324_1b.jpg,8.95
16,Pokémon Rubí & Zafiro,https://media.vandal.net/100/1208/pokemon-rubi-zafiro-20142311577_1b.jpg,8.94
17,Sonic Advance 3,https://media.vandal.net/100/2990/200471405951_1b.jpg,8.92
18,Tony Hawk's Pro Skater 3,https://media.vandal.net/100/1238/tony-hawks-pro-skater-3-20196111482453_1b.jpg,8.84
19,Advance Wars,https://media.vandal.net/100/829/advance-wars-20196817543030_1b.jpg,8.82
20,Megaman Zero 2,https://media.vandal.net/100/1670/megaman-zero-2-2014219175047_1b.jpg,8.81
21,Super Street Fighter 2 Turbo Revival,https://media.vandal.net/100/300/super-street-fighter-2-turbo-revival-201961114121558_1b.jpg,8.8
22,Astro Boy: Omega Factor,https://media.vandal.net/100/3040/20053323937_1b.jpg,8.78
23,Castlevania: Aria of Sorrow,https://media.vandal.net/100/1638/20035210375_1b.jpg,8.76
24,Donkey Kong Country 2,https://media.vandal.net/100/3158/20047272113_1b.jpg,8.75
25,King of Fighters Ex 2,https://media.vandal.net/100/1567/king-of-fighters-ex-2-2014211102240_1b.jpg,8.72
26,Prince of Persia: The Sands of Time,https://media.vandal.net/100/2995/prince-of-persia-the-sands-of-time-201421718137_1b.jpg,8.69
27,Kirby: El Laberinto de los Espejos,https://media.vandal.net/100/3246/20047201148_1b.jpg,8.68
28,Wario Land 4,https://media.vandal.net/100/670/wario-land-4-201961114131048_1b.jpg,8.67
29,Tony Hawk's Pro Skater 2,https://media.vandal.net/100/208/tony-hawks-pro-skater-2-201961114114933_1b.jpg,8.65
30,Mario Vs. Donkey Kong,https://media.vandal.net/100/3559/200411102379_1b.jpg,8.64
31,Megaman Zero 3,https://media.vandal.net/100/3243/2004121404440_1b.jpg,8.62
32,Fire Emblem: The Sacred Stones,https://media.vandal.net/100/3581/fire-emblem-the-sacred-stones-2014211204435_1b.jpg,8.62
33,Sonic Advance,https://media.vandal.net/100/26/sonic-advance-201961114101826_1b.jpg,8.6
34,Final Fantasy Tactics Advance,https://media.vandal.net/100/1144/final-fantasy-tactics-advance-20142312533_1b.jpg,8.6
35,Kirby: Nightmare in Dream Land,https://media.vandal.net/100/1308/200311271831_1b.jpg,8.55
36,Rayman 3: Hoodlum Havoc,https://media.vandal.net/100/1534/rayman-3-hoodlum-havoc-20196101615523_1b.jpg,8.55
37,F-Zero: GP Legend,https://media.vandal.net/100/3025/200461004441_1b.jpg,8.55
38,Street Fighter Alpha 3,https://media.vandal.net/100/678/street-fighter-alpha-3-20196101616324_1b.jpg,8.52
39,Sonic Advance 2,https://media.vandal.net/100/1516/2003425214734_1b.jpg,8.52
40,Sabrewulf,https://media.vandal.net/100/852/sabrewulf-201421892849_1b.jpg,8.51
41,Final Fight One,https://media.vandal.net/100/299/final-fight-one-2016105191718_1b.jpg,8.5
42,Tales of Phantasia,https://media.vandal.net/100/323/200648215947_1b.jpg,8.48
43,Gunstar Future Heroes,https://media.vandal.net/100/4629/2005126211048_1b.jpg,8.39
44,Castlevania: Harmony of Dissonance,https://media.vandal.net/100/1052/castlevania-harmony-of-dissonance-20196818172847_1b.jpg,8.38
45,Konami Krazy Racers,https://media.vandal.net/100/747/konami-krazy-racers-201961114134937_1b.jpg,8.37
46,Donkey Kong Country,https://media.vandal.net/100/1289/20037311158_1b.jpg,8.35
47,Pokémon Esmeralda,https://media.vandal.net/100/3626/pokemon-esmeralda-201429143545_1b.jpg,8.34
48,Sword of Mana,https://media.vandal.net/100/1504/2004632230_1b.jpg,8.33
49,Boktai: The Sun is in your Hands,https://media.vandal.net/100/2106/boktai-the-sun-is-in-your-hands-2014211205934_1b.jpg,8.33
50,Final Fantasy IV,https://media.vandal.net/100/5057/final-fantasy-iv-2014211204539_1b.jpg,8.28
51,Mario Golf Advance Tour,https://media.vandal.net/100/2122/2004101412842_1b.jpg,8.23
52,Tony Hawk Underground,https://media.vandal.net/100/2916/20031219223437_1b.jpg,8.23
53,F-Zero: Maximum Velocity,https://media.vandal.net/100/16/fzero-maximum-velocity-20196111495318_1b.jpg,8.22
54,Top Gear Rally,https://media.vandal.net/100/2944/top-gear-rally-2014418165612_1b.jpg,8.2
55,Harvest Moon: Friends of Mineral Town,https://media.vandal.net/100/1685/20043111313_1b.jpg,8.19
56,Splinter Cell: Pandora Tomorrow,https://media.vandal.net/100/2065/2004326225858_1b.jpg,8.19
57,Pokémon Verde Hoja & Rojo Fuego,https://media.vandal.net/100/2985/20041014185548_1b.jpg,8.19
58,Final Fantasy V Advance,https://media.vandal.net/100/5092/final-fantasy-v-advance-2014213212043_1b.jpg,8.14
59,Donkey Kong Country 3: Dixie Kong's Double Trouble,https://media.vandal.net/100/5159/2005112223937_1b.jpg,8.11
60,Mario Power Tennis,https://media.vandal.net/100/2742/2005121602829_1b.jpg,8.1
61,Megaman Zero 4,https://media.vandal.net/100/4210/20051027223025_1b.jpg,8.1
62,El Señor de los Anillos: El Retorno del Rey,https://media.vandal.net/100/1891/201262395521_1b.jpg,8.05
63,Dragon Ball: Advance Adventure,https://media.vandal.net/100/3803/2005720183322_1b.jpg,8.02
64,Ninja Cop,https://media.vandal.net/100/1810/ninja-cop-2014318161439_1b.jpg,7.97
65,V-Rally 3,https://media.vandal.net/100/968/vrally-3-201961016222086_1b.jpg,7.95
66,Stuntman,https://media.vandal.net/100/2895/20038721517_1b.jpg,7.94
67,Final Fantasy I & II: Dawn of Souls,https://media.vandal.net/100/3351/2004121622585_1b.jpg,7.93
68,Super Monkey Ball Jr.,https://media.vandal.net/100/1148/20035921129_1b.jpg,7.85
69,Hamtaro: Ham-Ham Heartbreak,https://media.vandal.net/100/2032/hamtaro-hamham-heartbreak-201432012547_1b.jpg,7.85
70,Rayman Advance,https://media.vandal.net/100/27/rayman-advance-201961114112360_1b.jpg,7.79
71,Megaman Battle Network 3 Blue & White,https://media.vandal.net/100/1209/200397232434_1b.jpg,7.77
72,Castlevania: Circle of the Moon,https://media.vandal.net/100/28/castlevania-circle-of-the-moon-2019681817394_1b.jpg,7.75
73,Yoshi's Universal Gravitation,https://media.vandal.net/100/4415/2005429232348_1b.jpg,7.75
74,Super Mario Advance,https://media.vandal.net/100/14/super-mario-advance-20196111485154_1b.jpg,7.74
75,Dragon Ball Z: Supersonic Warriors,https://media.vandal.net/100/3426/200492922623_1b.jpg,7.74
76,El Señor de los Anillos: Las Dos Torres,https://media.vandal.net/100/1260/el-senor-de-los-anillos-las-dos-torres-20196101617395_1b.jpg,7.73
77,Bubble Bobble: Old & New,https://media.vandal.net/100/1620/bubble-bobble-old-new-2019681812263_1b.jpg,7.7
78,Bomberman Tournament,https://media.vandal.net/100/1220/bomberman-tournament-20196818112385_1b.jpg,7.67
79,Virtua Tennis,https://media.vandal.net/100/1146/virtua-tennis-201389165817_1b.jpg,7.64
80,Banjo Kazooie: La Venganza de Grunty,https://media.vandal.net/100/671/2003121334743_1b.jpg,7.44
81,Los Sims Toman la Calle,https://media.vandal.net/100/2068/los-sims-toman-la-calle-201449113125_1b.jpg,7.44
82,Pac-Man Collection,https://media.vandal.net/100/1495/pacman-collection-201961016212179_1b.jpg,7.41
83,Lady Sia,https://media.vandal.net/100/867/lady-sia-20196111417131_1b.jpg,7.4
84,Disney's Aladdin,https://media.vandal.net/100/1886/200442915454_1b.jpg,7.4
85,Crash Bandicoot XS,https://media.vandal.net/100/795/crash-bandicoot-xs-20196818215011_1b.jpg,7.37
86,Pokémon Mystery Dungeon: Red Rescue Team,https://media.vandal.net/100/4994/pokemon-mystery-dungeon-red-rescue-team-201421513557_1b.jpg,7.28
87,Grand Theft Auto,https://media.vandal.net/100/3852/20041111233129_1b.jpg,7.23
88,Pokemon Pinball: Rubí & Zafiro,https://media.vandal.net/100/1991/pokemon-pinball-rubi-zafiro-201421093759_1b.jpg,7.22
89,Sonic Pinball Party,https://media.vandal.net/100/1637/sonic-pinball-party-201422113386_1b.jpg,6.97
90,Tekken Advance,https://media.vandal.net/100/802/tekken-advance-201961016202376_1b.jpg,6.93
91,CT Special Forces: Back To Hell,https://media.vandal.net/100/2389/ct-special-forces-back-to-hell-2014418165336_1b.jpg,6.84
92,Spyro: Season of Ice,https://media.vandal.net/100/475/spyro-season-of-ice-201961016215762_1b.jpg,6.82
93,Dave Mirra FreeStyle BMX 2,https://media.vandal.net/100/1014/dave-mirra-freestyle-bmx-2-2016105184937_1b.jpg,6.77
94,Splinter Cell,https://media.vandal.net/100/1647/2013711191013_1b.jpg,6.71
95,Super Dodgeball Advance,https://media.vandal.net/100/866/super-dodgeball-advance-20196111415622_1b.jpg,6.64
96,Super Mario Ball,https://media.vandal.net/100/3801/2004122342658_1b.jpg,6.58
97,Harry Potter y el Prisionero de Azkaban,https://media.vandal.net/100/3308/2004615233158_1b.jpg,6.55
98,Turok Evolution,https://media.vandal.net/100/1540/turok-evolution-201961016184373_1b.jpg,6.51
99,Sonic Battle,https://media.vandal.net/100/1900/200442214249_1b.jpg,6.51
100,Tetris Worlds,https://media.vandal.net/100/1134/tetris-worlds-201961114181244_1b.jpg,6.5